,X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,Freguesia,Concelho,Distrito,lat,lon
21536,-8.61525677368576,41.1478170671204,161012369,37840,Oporto Street Sá de Noronha,2016-12-19,2016-12-19,Apartamento,2,jmgreina@outlook.pt,Rua Rua Sá Noronha 59 4º Frente,4050-527,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147826,-8.615278
21545,-8.61228350011397,41.1455040009947,161012378,37881,Loios 66 3º Andar,2016-12-20,2016-12-20,Apartamento,3,zindacarvalho@gmail.com,Largo Largo Lóios 66 3º andar,4050-338,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145301,-8.612206
21547,-8.61562249939749,41.155674001103,161012380,37906,Yellow Tiles,2016-12-21,2016-12-21,Apartamento,4,mamoreira@sapo.pt,Rua Rua Boavista 161 3º Traseiras,4050-107,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.155492,-8.615316
21548,-8.60805761750666,41.1527733539335,161012381,37908,JS1,2016-12-21,2016-12-21,Apartamento,4,abilioaugusto1908@gmail.com,Rua Rua Bonjardim 672 2ª B,4000-119,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.152787,-8.608032
21570,-8.61132202518056,41.1536273463268,161012403,38038,Varanda sobre o Porto,2016-12-26,2016-12-26,Apartamento,3,mantoniab@gmail.com,Rua Gonçalo Cristovão 356 5º Esq,4000-266,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.153709,-8.611313
21584,-8.61001899370812,41.1489530577807,161012417,38124,DECO GEM ALIADOS,2016-12-28,2017-04-02,EstabelecimentoHospedagemHostel,4,raquel@rvg.pt,Rua Rua Rodrigues Sampaio 184 1º,4000-424,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.14896,-8.609962
21592,-8.61133796488696,41.1415316831611,161012425,38172,ARCO APARTMENTS (MENTIRAS),2016-12-29,2016-12-01,Apartamento,6,futuroideal.lda@gmail.com,Escadas Escadas Verdades 17,4050-622,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141572,-8.611237
21594,-8.61121735528026,41.1414660847294,161012427,38181,ARCO APARTMENTS (SANTANA),2016-12-29,2016-12-01,Apartamento,4,futuroideal.lda@gmail.com,Escadas Escadas Barredo 135,4050-092,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141478,-8.611152
21607,-8.623204999946,41.1617940011136,161012440,38233,Koolhaas,2016-12-30,2017-01-03,Apartamento,2,liliana.inacio@gmail.com,Rua Rua Nove de Julho 40A 7º 1,4050-433,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.161696,-8.622338
21617,-8.62180331998064,41.151433642518,161012450,38315,T0 Maternidade 45 Casa 6,2017-01-03,2017-01-03,Moradia,2,renato.chainho@hostwise.pt,Rua Rua Maternidade 45 casa 6,4050-370,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,41.151442,-8.621824
21619,-8.61292701994586,41.148764781256,161012452,38322,Picaria 14,2017-01-03,2017-01-03,Apartamento,2,adrianasucena@gmail.com,Rua Rua Picaria 14 2º Frente,4050-477,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.1488,-8.612875
21621,-8.60313105885916,41.1590938892006,161012454,38331,Marquês Cozy Apartment,2017-01-03,2017-01-03,Apartamento,3,isabelmoraisportugal@gmail.com,Rua Rua Doze Casas 243 1º traz,4000-195,Bonfim,Porto,Porto,41.159096,-8.603146
21638,-8.61369072717624,41.1418959160994,161012471,38415,O'PORTO SÃO JOÃO 2E,2017-01-04,2017-01-05,Apartamento,4,cristinapereira.c@sapo.pt,Rua São João 72-A 2 Esquerdo,4050-551,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141907,-8.613615
21639,-8.61369072717624,41.1418959160994,161012472,38417,O'PORTO SÃO JOÃO 3E,2017-01-04,2017-01-05,Apartamento,4,cristinapereira.c@sapo.pt,Rua São João 72-A 3 Esquerdo,4050-551,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141907,-8.613615
21648,-8.60926612105839,41.1491155306312,161012481,38458,OCC4 - Oporto City Center 4,2017-01-05,2017-01-05,Apartamento,6,pfsousa@mfs.pt,Rua Rua Formosa 447 5 Esq,4000-253,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.14908,-8.609248
21649,-8.62132879840653,41.1674554972328,161012482,38465,Casa São Dinis,2017-01-05,2017-01-05,Moradia,8,marioferreirafernandes@gmail.com,Rua Rua São Dinis 142,4250-426,Paranhos,Porto,Porto,41.167407,-8.621337
21654,-8.61975848669603,41.1482154456877,161012487,38483,Apartamento no Coração da Cidade,2017-01-06,2017-01-06,Apartamento,4,guga.vidal13@gmail.com,Rua Rua Clemente Meneres 31 2º traseiras,4050-201,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.148215,-8.61981
21663,-8.61452712428276,41.1465149060822,161012496,38531,Marques da Silva,2017-01-09,2017-01-09,Apartamento,4,sobreoporto@gmail.com,Rua Rua Carmelitas 100 3º Drt,4050-161,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146592,-8.614505
21675,-8.60503850021096,41.1428670007929,161012508,38599,River View Two Bedroom Apartment,2017-01-10,2017-01-10,Apartamento,5,bertajesuspinheiro@gmail.com,Rua Rua Sol 5 1.º Direito,4000-529,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142782,-8.60492
21685,-8.60284344166138,41.1551385409675,161012518,38649,Wine and the City - Cozy,2017-01-10,2022-04-01,Apartamento,4,bplacesporto@gmail.com,Rua Rua Alegria 541 1.º Esq,4000-045,Bonfim,Porto,Porto,41.155145,-8.602889
21686,-8.60284344166138,41.1551385409675,161012519,38651,Wine and the City - Exclusive,2017-01-10,2022-04-01,Apartamento,6,bplacesporto@gmail.com,Rua Rua Alegria 541 2.º,4000-045,Bonfim,Porto,Porto,41.155145,-8.602889
21742,-8.62231645653554,41.1527225811266,161012575,11423,Oporto Torrinha Flat,2015-04-13,2015-04-13,Apartamento,4,joaocruzmartins@hotmail.com,Rua Torrinha 265 3º DT TRAZ,4050-612,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,41.152696,-8.622324
21770,-8.60475979430082,41.144374601054,161012603,11559,"Madureia e Rocha, Lda",2015-04-15,2015-04-15,EstabelecimentoHospedagem,20,pintocns@portugalmail.pt,Rua Duque Loulé 168,4000-324,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144357,-8.60458
21857,-8.59424500222211,41.1461826271029,161012690,11986,HOME MADE GUEST STUDIOS - STUDIO ARRÁBIDA,2015-04-22,2015-04-22,Apartamento,4,mj_bacelar@msn.com,Rua Heroísmo 273 1º  Tras.,4300-259,Bonfim,Porto,Porto,41.146174,-8.594211
21897,-8.60752250366833,41.1494786932779,161012730,12204,By Sá da Bandeira,2015-04-24,2015-04-24,Apartamento,4,joao.canavarro@bybolhao.pt,Rua Rua Sá da Bandeira 375 1.º frt.,4000-435,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149513,-8.607604
21910,-8.60123374152062,41.1640552361603,161012743,38168,Fancy loft,2016-12-29,2016-12-29,Apartamento,4,porto201formosa@outlook.pt,Rua Rua Costa Cabral 256 2º Fracção F,4200-223,Bonfim,Porto,Porto,41.164039,-8.60117
21915,-8.61124652267925,41.1414279715004,161012748,38185,ARCO APARTMENTS (VANDOMA),2016-12-29,2016-12-01,Apartamento,3,futuroideal.lda@gmail.com,Escadas Escadas Barredo 139,4050-092,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141522,-8.61114
21946,-8.60179633572182,41.1489662272481,161012779,38353,Porto City Center Apartment,2017-01-03,2017-01-03,Apartamento,3,jose.pedrog90@gmail.com,Rua Rua Fernandes Tomás 258 1 fração J H 9,4000-214,Bonfim,Porto,Porto,41.14901,-8.601699
21950,-8.60778655356462,41.154187108247,161012783,38370,Casa Bonjardim,2017-01-04,2017-01-04,Apartamento,2,irenejesuscr@hotmail.com,Rua Rua Bonjardim 653 1º Frente,4000-128,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.154184,-8.607843
21959,-8.61369072717624,41.1418959160994,161012792,38418,O'PORTO SÃO JOÃO 4E,2017-01-04,2017-01-05,Apartamento,4,cristinapereira.c@sapo.pt,Rua São João 72-A 4 Esquerdo,4050-551,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141907,-8.613615
21984,-8.61676091010254,41.1434144531728,161012817,38535,The Flat,2017-01-09,2017-01-09,Apartamento,2,saomiguel50porto@gmail.com,Rua Rua São Miguel 50 3º Dto Frt,4050-559,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143449,-8.616757
21988,-8.60935914879258,41.1502696160076,161012821,38553,Liiiving in Porto | Aliados Cosy Apartment,2017-01-09,2017-01-09,Apartamento,4,afonso.salcedo@liiiving.com,Travessa Travessa Liceiras 4 1º,4000-323,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150296,-8.609405
21997,-8.60290874918257,41.1482565008679,161012830,38603,ApartHotel Oporto,2017-01-10,2017-01-10,Apartamento,4,mickaelpetit_126@hotmail.com,Rua Rua Doutor Alves da Veiga 65 3.º,4000-073,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.148307,-8.602974
22007,-8.60284344166138,41.1551385409675,161012840,38653,Wine and the City - Premium,2017-01-10,2017-01-10,Apartamento,4,pedro.pereira@youbiz.pt,Rua Rua Alegria 541 1.º  Dit,4000-045,Bonfim,Porto,Porto,41.155145,-8.602889
22008,-8.61081294721411,41.1534745366871,161012841,38654,Porto Charming Studio,2017-01-10,2017-01-10,Apartamento,4,batista.mariam@gmail.com,Rua Rua Gonçalo Cristóvão 301 5º Dto  traseiras,4000-270,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.153367,-8.610757
22017,-8.60846884109088,41.1587696168087,161012850,38706,Faria House,2017-01-11,2017-02-24,EstabelecimentoHospedagem,14,james-bond79@web.de,Rua Rua Faria Guimarães 168,4000-202,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.158764,-8.608366
22126,-8.62627498614127,41.1541848728153,161012959,11663,Three Houses,2015-04-16,2015-04-30,Apartamento,2,j_p_araujo@sapo.pt,Rua Padre Cruz 181 Cave,4050-220,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,41.15411,-8.626322
22186,-8.59424500222211,41.1461826271029,161013019,11996,MARIA JOÃO AMARAL PRIETO BACELAR,2015-04-22,2015-04-22,Apartamento,3,mj_bacelar@msn.com,Rua Heroísmo 273 2º Tras,4300-259,Bonfim,Porto,Porto,41.146174,-8.594211
22187,-8.59424500222211,41.1461826271029,161013020,11997,HOME MADE GUEST STUDIOS - STUDIO S.JOÃO,2015-04-22,2015-04-22,Apartamento,3,mj_bacelar@msn.com,Rua Heroísmo 273 2 Frente,4300-259,Bonfim,Porto,Porto,41.146174,-8.594211
22224,-8.61515935408813,41.1408236467557,161013057,12182,Douro Apartments - RIVERTOP STUDIO,2015-04-24,2015-04-14,Apartamento,2,coimbradsr@hotmail.com,Rua Infante Dom Henrique 87 4º esq,4050-297,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.140757,-8.615102
22228,-8.60752250366833,41.1494786932779,161013061,12200,By Sá da Bandeira,2015-04-24,2015-04-24,Apartamento,2,joao.canavarro@bybolhao.pt,Rua Rua Sá da Bandeira 375 1º Tras.,4000-435,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149513,-8.607604
22237,-8.60871025703528,41.1536173716839,161013070,12264,Trindade,2015-04-27,2015-04-27,Apartamento,6,anamaria.pereira@sapo.pt,Rua Gonçalo Cristóvão 198 Ap 22,4000-265,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.153678,-8.608598
22239,-8.60760806550417,41.1569774959361,161013072,12283,Path Apartments,2014-05-28,2014-05-28,Apartamento,3,rpscardoso@gmail.com,Rua Bonjardim 891/895 3º,4000-131,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157009,-8.607632
22240,-8.60464377418693,41.155088360463,161013073,12297,Cosy Downtown Flats ,2015-04-27,2015-04-27,Apartamento,4,ana.matty@gmail.com,Rua Santa Catarina 1012 1.º,4000-447,Bonfim,Porto,Porto,41.155116,-8.604597
22274,-8.61300668164693,41.1492592632772,161013107,12465,Baixa24 - P1L - Large dowtown studio w/balcony,2015-04-29,2015-05-01,Apartamento,2,margemalandra@gmail.com,Rua Picaria 59 1º Traz,4050-478,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149322,-8.612994
22279,-8.62385750023578,41.1631260007765,161013112,26673,O'Porto 581,2016-04-01,2016-04-01,Apartamento,4,bernardetemartins.mbam@gmail.com,Rua Rua Nove de Julho 41 R/C Dto,4050-436,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.160996,-8.622805
22288,-8.60683107758066,41.1506798115242,161013121,26753,Home Sweet Home... Bolhão,2016-04-04,2016-04-04,EstabelecimentoHospedagem,2,patricia.rlcampos@gmail.com,Rua Rua Sá da Bandeira 512 1º,4000-427,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150682,-8.606745
22304,-8.62082817628183,41.145892639001,161013137,26855,Dowm2Town,2016-04-05,2016-04-05,EstabelecimentoHospedagem,6,servicoaocliente@findelta.pt,Rua Rua Restauração 424,4050-501,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145787,-8.62076
22305,-8.61379775156087,41.1517009600997,161013138,26856,New HeartMade Apartment,2016-04-05,2016-04-05,Apartamento,3,silva.claudius@gmail.com,Rua Rua Mártires da Liberdade 158 1.º Frente,4050-359,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.151741,-8.61376
22313,-8.60373358856463,41.1465999658696,161013146,26903,CHIC & COZY APARTMENTS,2016-04-06,2016-05-02,Apartamento,2,oportochicandcozy@gmail.com,Rua Rua Alegria 2.º Dt.º Tras.,4000-033,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.146641,-8.603764
22325,-8.61466886585818,41.1453569765323,161013158,26956,Oporto Chic & Cozy,2016-04-07,2016-04-07,Apartamento,2,oportochicandcozy@gmail.com,Rua Rua Trás 194 1º. Fte.,4050-614,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145394,-8.614664
22328,-8.61596450060259,41.1453060004527,161013161,26987,CHIC & COZY APARTMENTS,2016-04-07,2016-04-07,Apartamento,4,oportochicandcozy@gmail.com,Campo Campo Mártires da Pátria 2.º Esq.º,4050-367,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144615,-8.616796
22345,-8.61294450205961,41.1497097807287,161013178,40291,Sunny Downtown Picaria,2017-02-21,2017-02-21,Apartamento,2,diogocpsantos@gmail.com,Rua Rua Picaria 88 2º Tras,4050-477,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149735,-8.612885
22364,-8.61447425752998,41.1417447216761,161013197,40427,Citybreak Apartments Patio - 441,2017-02-23,2017-02-23,Apartamento,4,winwinlda@hotmail.com,Rua Mouzinho da Silveira 44 1º,4050-414,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141777,-8.614402
22369,-8.61447425752998,41.1417447216761,161013202,40460,Citybreak Apartments Patio - 443,2017-02-24,2017-02-24,Apartamento,4,winwinlda@hotmail.com,Rua Mouzinho da Silveira 44 3º,4050-414,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141777,-8.614402
22377,-8.61771500088434,41.1439740005781,161013210,40494,VIRTUDES APARTMENT GROUNDFLOOR,2017-02-24,2017-02-27,Apartamento,5,teresabarbotf@gmail.com,Rua Rua Doutor Barbosa de Castro 57 R/c,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144345,-8.617614
22380,-8.61669084420533,41.1418921026376,161013213,40510,1824 Riverside Balcony II,2017-02-24,2017-02-24,Apartamento,6,geral@magikprelude.com,Rua Rua São João Novo 7 2º,4050-556,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141898,-8.616697
22383,-8.61403675463039,41.1436578625667,161013216,40525,Apartamento Rua das Flores,2017-02-24,2017-02-24,Apartamento,4,anacristinavieirapinto@gmail.com,Rua Rua das Flores 54 1 F,4050-262,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143689,-8.613972
22418,-8.62681783896579,41.166565826804,161013251,40694,Casa da Criatividade,2017-03-02,2017-03-04,Apartamento,5,inespetiz@gmail.com,Rua Rua Pedro Hispano 1425 3 D B,4250-368,Ramalde,Porto,Porto,41.166638,-8.626869
22425,-8.60350319854204,41.1534449062357,161013258,40743,Douro Sunset Lounge,2017-03-03,2017-03-03,Moradia,17,ricardo.extinporto@gmail.com,Rua Rua Alegria 405,4000-035,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.153607,-8.603499
22464,-8.6146364762023,41.1432395985764,161013297,40943,Citybreak-Apartments Patio,2017-03-07,2017-03-07,Apartamento,4,winwinlda@hotmail.com,Largo de São Domingos 77 5º Trás,4050-545,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143231,-8.614527
22495,-8.60760806550417,41.1569774959361,161013328,12279,Path Apartments,2014-05-28,2014-05-28,Apartamento,6,rpscardoso@gmail.com,Rua Bonjardim 891/895 r/c,4000-131,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157009,-8.607632
22496,-8.61352745927165,41.1470575035513,161013329,12284,Grande Hotel Paris,2014-09-25,2014-09-25,Apartamento,0,dir@hotelparis.pt,Rua Conde Vizela 90 1º,4050-640,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147042,-8.613394
22500,-8.60464377418693,41.155088360463,161013333,12304,Oporto City Center Apartments,2015-04-27,2015-04-27,Apartamento,4,ana.matty@gmail.com,Rua Santa Catarina 1012 4º,4000-447,Bonfim,Porto,Porto,41.155116,-8.604597
22560,-8.60656399946352,41.1522360005381,161013393,26942,FeelPorto Downtown Art Tile,2016-04-06,2016-04-06,Apartamento,8,financial@feelporto.com,1ª Rua Fernandes Tomás 706 2 D,4000-218,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150088,-8.606838
22563,-8.604012500189,41.1485280009622,161013396,26951,CHIC & COZY APARTMENTS,2016-04-07,2016-06-01,Apartamento,2,oportochicandcozy@gmail.com,Rua Rua Alegria 158/162 1.º Dt.º Tras.,4000-033,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149016,-8.603984
22570,-8.61466886585818,41.1453569765323,161013403,26983,Oporto Chic & Cozy,2016-04-07,2016-04-07,Apartamento,2,oportochicandcozy@gmail.com,Rua Rua Trás 194 3º. Fte.,4050-614,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.145394,-8.614664
22581,-8.61359647863157,41.1526003728809,161013414,40253,Porto Belo,2017-02-20,2017-03-15,Apartamento,4,bro.oliveira@gmail.com,Rua Rua Mártires da Liberdade 240 2 TS,4050-359,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.152656,-8.613564
22586,-8.60902855170004,41.1505884061613,161013419,40278,Sweet Corner,2017-02-21,2017-03-01,Apartamento,4,maildahelena.neto@gmail.com,Rua Rua Fernandes Tomás 896 2º Centro,4000-213,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150596,-8.609009
22613,-8.61752916819815,41.1442689611828,161013446,40428,VIRTUDES APARTMENT BALCONY 1,2017-02-23,2017-02-27,Apartamento,4,teresabarbotf@gmail.com,Rua Rua Doutor Barbosa de Castro 57 1 tras,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144345,-8.617614
22615,-8.61752916819815,41.1442689611828,161013448,40437,VIRTUDES APARTMENT 2,2017-02-23,2017-02-27,Apartamento,4,teresabarbotf@gmail.com,Rua Rua Doutor Barbosa de Castro 57 2º Traseiras,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144345,-8.617614
22616,-8.61752916819815,41.1442689611828,161013449,40446,CLERIGOS APARTMENT 2,2017-02-23,2017-02-27,Apartamento,4,teresabarbotf@gmail.com,Rua Rua Doutor Barbosa de Castro 57 2º Frente,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144345,-8.617614
22617,-8.61752916819815,41.1442689611828,161013450,40448,CLERIGOS-VIRTUDES PENTHOUSE,2017-02-23,2017-02-27,Apartamento,4,teresabarbotf@gmail.com,Rua Rua Doutor Barbosa de Castro 57 3º,4050-091,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144345,-8.617614
22634,-8.61239711094628,41.1448027904963,161013467,40562,No Porto,2017-02-27,2017-04-03,Apartamento,2,abrigonoporto@gmail.com,Rua Rua Caldeireiros 16 1º,4050-137,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144784,-8.61235
22641,-8.60971028496579,41.1755200837463,161013474,40607,Guerra Leal Apartments,2017-02-27,2017-02-27,Apartamento,4,suguerraleal@gmail.com,Rua Rua Coronel Almeida Valente 185 R/C,4200-033,Paranhos,Porto,Porto,41.175491,-8.609722
22652,-8.60976867006934,41.1449459420343,161013485,40680,Apartamento Amália,2017-03-02,2017-03-06,Apartamento,3,sendme2portugal@gmail.com,Rua Rua Loureiro 106 2,4000-326,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144935,-8.609781
22653,-8.60976867006934,41.1449459420343,161013486,40682,Apartamento Camões,2017-03-02,2017-03-06,Apartamento,2,sendme2portugal@gmail.com,Rua Rua Loureiro 106 3,4000-326,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.144935,-8.609781
22665,-8.61461029570166,41.1432451850443,161013498,40755,Apartments2Stay,2017-03-03,2017-03-03,Apartamento,2,di.nunes91@gmail.com,Largo de S. Domingos 68 2º Tras,4050-545,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143402,-8.614659
22680,-8.60950921505573,41.1470979892076,161013513,40823,PORTO TOP,2017-03-04,2017-03-06,Apartamento,2,pedrolemosper@gmail.com,Rua Rua Bonjardim 126 1 frente,4000-114,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147093,-8.609336
22682,-8.61734387180617,41.1525744209489,161013515,40839,OPorto Cozy Apartment,2017-03-06,2017-03-06,Apartamento,4,mmanuel@sapo.pt,Rua Rua Bragas 326 1º Frente,4050-122,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.152684,-8.617377
22718,-8.6141752389146,41.141160284603,161013551,41005,DOURO Apartments - Ribeira - RiverviewTop,2017-03-08,2017-02-16,Apartamento,4,coimbradsr@gmail.com,Rua Rua Infante Dom Henrique 37 3 drt,4050-297,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141119,-8.614106
22748,-8.6156707056906,41.148341875646,161013581,41141,Porto Baixa,2017-03-10,2017-03-10,Apartamento,2,mjfavieira@gmail.com,Praça Praça Carlos Alberto 93 3.º  D,4050-158,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.14827,-8.615498
22759,-8.6094272410911,41.1473139894009,161013592,46732,Porto Bonjardim Apartments 1T,2017-05-30,2017-06-01,Apartamento,3,fjf007@gmail.com,Rua Rua Bonjardim 150-152 1º traseiras,4000-114,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147242,-8.609178
22760,-8.6094272410911,41.1473139894009,161013593,46737,Porto Bonjardim Apartments 2F,2017-05-30,2017-06-01,Apartamento,3,fjf007@gmail.com,Rua Rua Bonjardim 150-152 2º frente,4000-114,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147242,-8.609178
22763,-8.6094272410911,41.1473139894009,161013596,46755,Porto Bonjardim Apartments 3T,2017-05-30,2017-06-01,Apartamento,3,fjf007@gmail.com,Rua Rua Bonjardim 150-152 3º traseiras,4000-114,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147242,-8.609178
22765,-8.6094272410911,41.1473139894009,161013598,46762,Porto Bonjardim Apartments 4T,2017-05-30,2017-06-01,Apartamento,3,fjf007@gmail.com,Rua Rua Bonjardim 150-152 4º traseiras,4000-114,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.147242,-8.609178
